"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","STORY","169","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","1,764,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","TAMA","171","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","35","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","TAMA","171","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","30","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","TAMA","171","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","5,341,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","TAMA","171","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","4,125,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","WEBSTER","187","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","26","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","WEBSTER","187","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","19","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","WEBSTER","187","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","1,602,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","CENTRAL","50","WEBSTER","187","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","1,405,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","BENTON","011","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","77","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","BENTON","011","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","74","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","BENTON","011","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","10,865,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","BENTON","011","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","10,101,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","CEDAR","031","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","49","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","CEDAR","031","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","43","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","CEDAR","031","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","6,200,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","CEDAR","031","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","3,755,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","CLINTON","045","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","76","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","CLINTON","045","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","81","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","CLINTON","045","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","7,356,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","CLINTON","045","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","5,142,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","IOWA","095","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","33","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","IOWA","095","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","36","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","IOWA","095","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","6,626,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","IOWA","095","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","6,620,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JACKSON","097","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","50","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JACKSON","097","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","71","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JACKSON","097","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","3,636,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JACKSON","097","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","3,689,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JOHNSON","103","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","39","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JOHNSON","103","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","36","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JOHNSON","103","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","3,975,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JOHNSON","103","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","3,605,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JONES","105","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","44","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JONES","105","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","55","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JONES","105","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","4,176,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","JONES","105","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","3,568,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","LINN","113","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","59","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","LINN","113","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","54","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","LINN","113","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","4,802,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","LINN","113","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","6,869,000","39.6"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","MUSCATINE","139","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH RECEIPTS","TOTAL","NOT SPECIFIED","28","30.1"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","MUSCATINE","139","","","00000000","","CCC LOANS","CCC LOANS - OPERATIONS WITH REPAYMENTS","TOTAL","NOT SPECIFIED","22","34.2"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","MUSCATINE","139","","","00000000","","CCC LOANS","CCC LOANS - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","3,208,000","34.9"
"CENSUS","2017","YEAR","","COUNTY","IOWA","19","EAST CENTRAL","60","MUSCATINE","139","","","00000000","","CCC LOANS","CCC LOANS - REPAYMENTS, MEASURED IN $","TOTAL","NOT SPECIFIED","2,709,000","39.6"
