"","GEOID","NAME","variable","value"
"182","12005","Bay County, Florida","P002001",168852
"183","12007","Bradford County, Florida","P002001",28520
"184","12011","Broward County, Florida","P002001",1748066
"185","12027","DeSoto County, Florida","P002001",34862
"186","12003","Baker County, Florida","P002001",27115
"187","12013","Calhoun County, Florida","P002001",14625
"188","12017","Citrus County, Florida","P002001",141236
"189","12019","Clay County, Florida","P002001",190865
"190","12021","Collier County, Florida","P002001",321520
"191","12029","Dixie County, Florida","P002001",16422
"192","12023","Columbia County, Florida","P002001",67531
"193","12041","Gilchrist County, Florida","P002001",16939
"194","12031","Duval County, Florida","P002001",864263
"195","12033","Escambia County, Florida","P002001",297619
"196","12035","Flagler County, Florida","P002001",95696
"197","12037","Franklin County, Florida","P002001",11549
"198","12039","Gadsden County, Florida","P002001",46389
"199","12057","Hillsborough County, Florida","P002001",1229226
"200","12043","Glades County, Florida","P002001",12884
"201","12045","Gulf County, Florida","P002001",15863
"202","12047","Hamilton County, Florida","P002001",14799
"203","12049","Hardee County, Florida","P002001",27731
"204","12051","Hendry County, Florida","P002001",39140
"205","12053","Hernando County, Florida","P002001",172778
"206","12055","Highlands County, Florida","P002001",98786
"207","12069","Lake County, Florida","P002001",297052
"208","12065","Jefferson County, Florida","P002001",14761
"209","12067","Lafayette County, Florida","P002001",8870
"210","12059","Holmes County, Florida","P002001",19927
"211","12061","Indian River County, Florida","P002001",138028
"212","12063","Jackson County, Florida","P002001",49746
"213","12085","Martin County, Florida","P002001",146318
"214","12071","Lee County, Florida","P002001",618754
"215","12073","Leon County, Florida","P002001",275487
"216","12075","Levy County, Florida","P002001",40801
"217","12077","Liberty County, Florida","P002001",8365
"218","12079","Madison County, Florida","P002001",19224
"219","12081","Manatee County, Florida","P002001",322833
"220","12083","Marion County, Florida","P002001",331298
"221","12101","Pasco County, Florida","P002001",464697
"222","12086","Miami-Dade County, Florida","P002001",2496435
"223","12087","Monroe County, Florida","P002001",73090
"224","12089","Nassau County, Florida","P002001",73314
"225","12097","Osceola County, Florida","P002001",268685
"226","12099","Palm Beach County, Florida","P002001",1320134
"227","12091","Okaloosa County, Florida","P002001",180822
"228","12093","Okeechobee County, Florida","P002001",39996
"229","12095","Orange County, Florida","P002001",1145956
"230","12117","Seminole County, Florida","P002001",422718
"231","12103","Pinellas County, Florida","P002001",916542
"232","12105","Polk County, Florida","P002001",602095
"233","12107","Putnam County, Florida","P002001",74364
"234","12109","St. Johns County, Florida","P002001",190039
"235","12111","St. Lucie County, Florida","P002001",277789
"236","12113","Santa Rosa County, Florida","P002001",151372
"237","12115","Sarasota County, Florida","P002001",379448
"238","12129","Wakulla County, Florida","P002001",30776
"239","12119","Sumter County, Florida","P002001",93420
"240","12121","Suwannee County, Florida","P002001",41551
"241","02020","Anchorage Municipality, Alaska","P002001",291826
"242","02050","Bethel Census Area, Alaska","P002001",17013
"243","02150","Kodiak Island Borough, Alaska","P002001",13592
"244","02100","Haines Borough, Alaska","P002001",2508
"245","02105","Hoonah-Angoon Census Area, Alaska","P002001",2150
"246","02110","Juneau City and Borough, Alaska","P002001",31275
"247","02122","Kenai Peninsula Borough, Alaska","P002001",55400
"248","02130","Ketchikan Gateway Borough, Alaska","P002001",13477
"249","02220","Sitka City and Borough, Alaska","P002001",8881
"250","02164","Lake and Peninsula Borough, Alaska","P002001",1631
"251","02170","Matanuska-Susitna Borough, Alaska","P002001",88995
"252","02180","Nome Census Area, Alaska","P002001",9492
"253","02185","North Slope Borough, Alaska","P002001",9430
"254","02188","Northwest Arctic Borough, Alaska","P002001",7523
"255","02195","Petersburg Census Area, Alaska","P002001",3815
"256","02198","Prince of Wales-Hyder Census Area, Alaska","P002001",5559
"257","02275","Wrangell City and Borough, Alaska","P002001",2369
"258","02230","Skagway Municipality, Alaska","P002001",968
"259","02240","Southeast Fairbanks Census Area, Alaska","P002001",7029
"260","02261","Valdez-Cordova Census Area, Alaska","P002001",9636
"261","02282","Yakutat City and Borough, Alaska","P002001",662
"262","02270","Wade Hampton Census Area, Alaska","P002001",7459
"263","04009","Graham County, Arizona","P002001",37220
"264","02290","Yukon-Koyukuk Census Area, Alaska","P002001",5588
"265","04001","Apache County, Arizona","P002001",71518
"266","04003","Cochise County, Arizona","P002001",131346
"267","04007","Gila County, Arizona","P002001",53597
"268","04005","Coconino County, Arizona","P002001",134421
"269","04023","Santa Cruz County, Arizona","P002001",47420
"270","04011","Greenlee County, Arizona","P002001",8437
"271","04012","La Paz County, Arizona","P002001",20489
"272","04013","Maricopa County, Arizona","P002001",3817117
"273","04015","Mohave County, Arizona","P002001",200186
"274","04017","Navajo County, Arizona","P002001",107449
"275","04019","Pima County, Arizona","P002001",980263
"276","04021","Pinal County, Arizona","P002001",375770
"277","05015","Carroll County, Arkansas","P002001",27446
"278","04025","Yavapai County, Arizona","P002001",211033
"279","04027","Yuma County, Arizona","P002001",195751
"280","05001","Arkansas County, Arkansas","P002001",19019
"281","05011","Bradley County, Arkansas","P002001",11508
"282","05009","Boone County, Arkansas","P002001",36903
"283","05003","Ashley County, Arkansas","P002001",21853
"284","05005","Baxter County, Arkansas","P002001",41513
"285","05007","Benton County, Arkansas","P002001",221339
"286","05013","Calhoun County, Arkansas","P002001",5368
"287","05017","Chicot County, Arkansas","P002001",11800
"288","05029","Conway County, Arkansas","P002001",21273
"289","05019","Clark County, Arkansas","P002001",22995
"290","05021","Clay County, Arkansas","P002001",16083
"291","05023","Cleburne County, Arkansas","P002001",25970
"292","05025","Cleveland County, Arkansas","P002001",8689
"293","05027","Columbia County, Arkansas","P002001",24552
"294","05041","Desha County, Arkansas","P002001",13008
"295","05031","Craighead County, Arkansas","P002001",96443
"296","05033","Crawford County, Arkansas","P002001",61948
"297","05035","Crittenden County, Arkansas","P002001",50902
"298","05037","Cross County, Arkansas","P002001",17870
"299","05039","Dallas County, Arkansas","P002001",8116
"300","05057","Hempstead County, Arkansas","P002001",22609
"301","05043","Drew County, Arkansas","P002001",18509
"302","05045","Faulkner County, Arkansas","P002001",113237
"303","05051","Garland County, Arkansas","P002001",96024
"304","05047","Franklin County, Arkansas","P002001",18125
"305","05049","Fulton County, Arkansas","P002001",12245
"306","05053","Grant County, Arkansas","P002001",17853
"307","05055","Greene County, Arkansas","P002001",42090
"308","05069","Jefferson County, Arkansas","P002001",77435
"309","05059","Hot Spring County, Arkansas","P002001",32923
"310","05061","Howard County, Arkansas","P002001",13789
"311","05063","Independence County, Arkansas","P002001",36647
"312","05065","Izard County, Arkansas","P002001",13696
"313","05067","Jackson County, Arkansas","P002001",17997
"314","05091","Miller County, Arkansas","P002001",43462
"315","05071","Johnson County, Arkansas","P002001",25540
"316","05073","Lafayette County, Arkansas","P002001",7645
"317","05075","Lawrence County, Arkansas","P002001",17415
"318","05077","Lee County, Arkansas","P002001",10424
"319","05079","Lincoln County, Arkansas","P002001",14134
"320","05087","Madison County, Arkansas","P002001",15717
"321","05089","Marion County, Arkansas","P002001",16653
"322","05081","Little River County, Arkansas","P002001",13171
"323","05083","Logan County, Arkansas","P002001",22353
"324","05085","Lonoke County, Arkansas","P002001",68356
"325","05103","Ouachita County, Arkansas","P002001",26120
"326","05093","Mississippi County, Arkansas","P002001",46480
"327","05095","Monroe County, Arkansas","P002001",8149
"328","05097","Montgomery County, Arkansas","P002001",9487
"329","05099","Nevada County, Arkansas","P002001",8997
"330","05101","Newton County, Arkansas","P002001",8330
"331","05109","Pike County, Arkansas","P002001",11291
"332","05105","Perry County, Arkansas","P002001",10445
"333","05107","Phillips County, Arkansas","P002001",21757
"334","13011","Banks County, Georgia","P002001",18395
"335","13013","Barrow County, Georgia","P002001",69367
"336","13017","Ben Hill County, Georgia","P002001",17634
"337","13039","Camden County, Georgia","P002001",50513
"338","13023","Bleckley County, Georgia","P002001",13063
"339","13009","Baldwin County, Georgia","P002001",45720
"340","13005","Bacon County, Georgia","P002001",11096
"341","13007","Baker County, Georgia","P002001",3451
"342","13021","Bibb County, Georgia","P002001",155547
"343","13015","Bartow County, Georgia","P002001",100157
"344","13019","Berrien County, Georgia","P002001",19286
"345","13027","Brooks County, Georgia","P002001",16243
"346","13029","Bryan County, Georgia","P002001",30233
"347","13031","Bulloch County, Georgia","P002001",70217
"348","13033","Burke County, Georgia","P002001",23316
"349","13035","Butts County, Georgia","P002001",23655
"350","13037","Calhoun County, Georgia","P002001",6694
"351","13053","Chattahoochee County, Georgia","P002001",11267
"352","13043","Candler County, Georgia","P002001",10998
"353","13045","Carroll County, Georgia","P002001",110527
"354","13047","Catoosa County, Georgia","P002001",63942
"355","13049","Charlton County, Georgia","P002001",12171
"356","13051","Chatham County, Georgia","P002001",265128
"357","13069","Coffee County, Georgia","P002001",42356
"358","13055","Chattooga County, Georgia","P002001",26015
